,name,code,sector,series_id,units,year,value,source
189,"Lubricants Industrial Sector CO2 Emissions, Annual",LUICEUS,Industrial,TOTAL.LUICEUS.A,Million Metric Tons of Carbon Dioxide,2013,4.642,Lubricants
190,"Lubricants Industrial Sector CO2 Emissions, Annual",LUICEUS,Industrial,TOTAL.LUICEUS.A,Million Metric Tons of Carbon Dioxide,2012,4.39,Lubricants
191,"Lubricants Industrial Sector CO2 Emissions, Annual",LUICEUS,Industrial,TOTAL.LUICEUS.A,Million Metric Tons of Carbon Dioxide,2011,4.727,Lubricants
192,"Lubricants Industrial Sector CO2 Emissions, Annual",LUICEUS,Industrial,TOTAL.LUICEUS.A,Million Metric Tons of Carbon Dioxide,2010,5.042,Lubricants
193,"Lubricants Industrial Sector CO2 Emissions, Annual",LUICEUS,Industrial,TOTAL.LUICEUS.A,Million Metric Tons of Carbon Dioxide,2009,4.992,Lubricants
230,"Motor Gasoline, Excluding Ethanol, Industrial Sector CO2 Emissions, Annual",MMICEUS,Industrial,TOTAL.MMICEUS.A,Million Metric Tons of Carbon Dioxide,2018,17.518,Motor Gasoline
231,"Motor Gasoline, Excluding Ethanol, Industrial Sector CO2 Emissions, Annual",MMICEUS,Industrial,TOTAL.MMICEUS.A,Million Metric Tons of Carbon Dioxide,2017,17.523,Motor Gasoline
232,"Motor Gasoline, Excluding Ethanol, Industrial Sector CO2 Emissions, Annual",MMICEUS,Industrial,TOTAL.MMICEUS.A,Million Metric Tons of Carbon Dioxide,2016,17.385,Motor Gasoline
233,"Motor Gasoline, Excluding Ethanol, Industrial Sector CO2 Emissions, Annual",MMICEUS,Industrial,TOTAL.MMICEUS.A,Million Metric Tons of Carbon Dioxide,2015,17.126,Motor Gasoline
234,"Motor Gasoline, Excluding Ethanol, Industrial Sector CO2 Emissions, Annual",MMICEUS,Industrial,TOTAL.MMICEUS.A,Million Metric Tons of Carbon Dioxide,2014,13.956,Motor Gasoline
235,"Motor Gasoline, Excluding Ethanol, Industrial Sector CO2 Emissions, Annual",MMICEUS,Industrial,TOTAL.MMICEUS.A,Million Metric Tons of Carbon Dioxide,2013,17.461,Motor Gasoline
236,"Motor Gasoline, Excluding Ethanol, Industrial Sector CO2 Emissions, Annual",MMICEUS,Industrial,TOTAL.MMICEUS.A,Million Metric Tons of Carbon Dioxide,2012,16.793,Motor Gasoline
237,"Motor Gasoline, Excluding Ethanol, Industrial Sector CO2 Emissions, Annual",MMICEUS,Industrial,TOTAL.MMICEUS.A,Million Metric Tons of Carbon Dioxide,2011,16.929,Motor Gasoline
238,"Motor Gasoline, Excluding Ethanol, Industrial Sector CO2 Emissions, Annual",MMICEUS,Industrial,TOTAL.MMICEUS.A,Million Metric Tons of Carbon Dioxide,2010,17.315,Motor Gasoline
239,"Motor Gasoline, Excluding Ethanol, Industrial Sector CO2 Emissions, Annual",MMICEUS,Industrial,TOTAL.MMICEUS.A,Million Metric Tons of Carbon Dioxide,2009,16.008,Motor Gasoline
276,"Natural Gas Industrial Sector CO2 Emissions, Annual",NNICEUS,Industrial,TOTAL.NNICEUS.A,Million Metric Tons of Carbon Dioxide,2018,537.781,Natural Gas
277,"Natural Gas Industrial Sector CO2 Emissions, Annual",NNICEUS,Industrial,TOTAL.NNICEUS.A,Million Metric Tons of Carbon Dioxide,2017,508.848,Natural Gas
278,"Natural Gas Industrial Sector CO2 Emissions, Annual",NNICEUS,Industrial,TOTAL.NNICEUS.A,Million Metric Tons of Carbon Dioxide,2016,497.16,Natural Gas
279,"Natural Gas Industrial Sector CO2 Emissions, Annual",NNICEUS,Industrial,TOTAL.NNICEUS.A,Million Metric Tons of Carbon Dioxide,2015,487.438,Natural Gas
280,"Natural Gas Industrial Sector CO2 Emissions, Annual",NNICEUS,Industrial,TOTAL.NNICEUS.A,Million Metric Tons of Carbon Dioxide,2014,487.913,Natural Gas
281,"Natural Gas Industrial Sector CO2 Emissions, Annual",NNICEUS,Industrial,TOTAL.NNICEUS.A,Million Metric Tons of Carbon Dioxide,2013,472.041,Natural Gas
282,"Natural Gas Industrial Sector CO2 Emissions, Annual",NNICEUS,Industrial,TOTAL.NNICEUS.A,Million Metric Tons of Carbon Dioxide,2012,455.369,Natural Gas
283,"Natural Gas Industrial Sector CO2 Emissions, Annual",NNICEUS,Industrial,TOTAL.NNICEUS.A,Million Metric Tons of Carbon Dioxide,2011,437.768,Natural Gas
284,"Natural Gas Industrial Sector CO2 Emissions, Annual",NNICEUS,Industrial,TOTAL.NNICEUS.A,Million Metric Tons of Carbon Dioxide,2010,427.285,Natural Gas
285,"Natural Gas Industrial Sector CO2 Emissions, Annual",NNICEUS,Industrial,TOTAL.NNICEUS.A,Million Metric Tons of Carbon Dioxide,2009,394.596,Natural Gas
322,"Other Petroleum Products Industrial Sector CO2 Emissions, Annual",OPICEUS,Industrial,TOTAL.OPICEUS.A,Million Metric Tons of Carbon Dioxide,2018,120.582,Other
323,"Other Petroleum Products Industrial Sector CO2 Emissions, Annual",OPICEUS,Industrial,TOTAL.OPICEUS.A,Million Metric Tons of Carbon Dioxide,2017,125.832,Other
324,"Other Petroleum Products Industrial Sector CO2 Emissions, Annual",OPICEUS,Industrial,TOTAL.OPICEUS.A,Million Metric Tons of Carbon Dioxide,2016,119.858,Other
325,"Other Petroleum Products Industrial Sector CO2 Emissions, Annual",OPICEUS,Industrial,TOTAL.OPICEUS.A,Million Metric Tons of Carbon Dioxide,2015,112.082,Other
326,"Other Petroleum Products Industrial Sector CO2 Emissions, Annual",OPICEUS,Industrial,TOTAL.OPICEUS.A,Million Metric Tons of Carbon Dioxide,2014,108.447,Other
327,"Other Petroleum Products Industrial Sector CO2 Emissions, Annual",OPICEUS,Industrial,TOTAL.OPICEUS.A,Million Metric Tons of Carbon Dioxide,2013,115.822,Other
328,"Other Petroleum Products Industrial Sector CO2 Emissions, Annual",OPICEUS,Industrial,TOTAL.OPICEUS.A,Million Metric Tons of Carbon Dioxide,2012,110.446,Other
329,"Other Petroleum Products Industrial Sector CO2 Emissions, Annual",OPICEUS,Industrial,TOTAL.OPICEUS.A,Million Metric Tons of Carbon Dioxide,2011,114.333,Other
330,"Other Petroleum Products Industrial Sector CO2 Emissions, Annual",OPICEUS,Industrial,TOTAL.OPICEUS.A,Million Metric Tons of Carbon Dioxide,2010,115.34,Other
331,"Other Petroleum Products Industrial Sector CO2 Emissions, Annual",OPICEUS,Industrial,TOTAL.OPICEUS.A,Million Metric Tons of Carbon Dioxide,2009,107.432,Other
368,"Petroleum Coke Industrial Sector CO2 Emissions, Annual",PCICEUS,Industrial,TOTAL.PCICEUS.A,Million Metric Tons of Carbon Dioxide,2018,63.465,Petroleum Coke
369,"Petroleum Coke Industrial Sector CO2 Emissions, Annual",PCICEUS,Industrial,TOTAL.PCICEUS.A,Million Metric Tons of Carbon Dioxide,2017,59.534,Petroleum Coke
370,"Petroleum Coke Industrial Sector CO2 Emissions, Annual",PCICEUS,Industrial,TOTAL.PCICEUS.A,Million Metric Tons of Carbon Dioxide,2016,63.682,Petroleum Coke
